성별,휴양,자연경관,문화유산,액티비티,쇼핑,공연,전시물,희망
여성,5,2,2,3,4,5,2,"문화유산, 쇼핑, 전시물"
남성,4,5,2,2,3,2,3,자연경관
여성,4,4,3,5,3,5,4,휴양
여성,5,4,4,4,2,4,4,"휴양, 자연경관"
여성,3,5,4,5,4,2,1,"자연경관, 문화유산"
여성,3,4,1,1,1,4,4,자연경관
여성,4,2,3,4,2,4,2,휴양
여성,5,4,1,4,3,1,2,자연경관
여성,4,3,2,2,3,4,3,휴양
남성,4,4,3,3,2,3,3,휴양
남성,3,5,5,4,2,5,5,"휴양, 자연경관, 액티비티"
여성,5,5,4,5,3,2,5,자연경관
여성,5,2,1,5,2,5,4,휴양
여성,5,3,1,4,2,2,2,"휴양, 자연경관, 액티비티"
남성,5,4,1,3,2,5,3,"휴양, 쇼핑"
남성,4,5,4,3,2,2,2,액티비티
여성,3,4,3,3,2,2,3,자연경관
여성,3,3,1,2,3,2,2,"자연경관, 쇼핑, 전시물"
여성,4,5,4,4,2,5,5,자연경관
여성,5,5,3,4,3,1,1,"휴양, 액티비티"
여성,5,5,3,4,3,5,5,"휴양, 자연경관, 문화유산, 액티비티"
남성,4,4,4,4,2,2,2,문화유산
남성,3,5,4,5,2,3,4,"휴양, 자연경관"
여성,5,2,3,5,5,3,2,"휴양, 쇼핑"
남성,5,4,2,2,4,1,2,"휴양, 쇼핑"
여성,5,5,4,4,3,4,5,"자연경관, 문화유산, 액티비티, 전시물"
여성,4,4,3,4,2,3,3,"문화유산, 전시물"
남성,3,4,1,4,2,5,5,액티비티
남성,4,5,2,2,2,2,2,휴양
남성,5,4,4,3,2,2,3,"휴양, 자연경관"
남성,5,5,3,3,3,4,4,"휴양, 자연경관, 문화유산, 액티비티, 쇼핑, 공연, 전시물"
남성,3,4,2,3,2,4,4,"휴양, 자연경관, 문화유산"
남성,5,2,3,3,2,3,3,휴양
여성,5,5,4,4,3,4,4,"휴양, 문화유산, 쇼핑"
남성,5,4,4,1,3,1,2,"휴양, 문화유산"
남성,4,2,2,2,4,2,3,"휴양, 자연경관"
